giorno;Nome Stazione;Preneste;Francia;Magna Grecia;Cinecittà;Colleferro Oberdan;Colleferro Europa;Allumiere;Civitavecchia;Guidonia;Ada;Guido;Cavaliere;Ciampino;Fermi;Bufalotta;Cipro;Tiburtina;Arenula;Malagrotta;Civitavecchia Porto;Civitavecchia Villa Albani;Civitavecchia Via Morandi;Civitavecchia Via Roma;Fiumicino Porto;Fiumicino Villa Guglielmi;Aurelia;S.Agostino;Fiumaretta;Faro;CampoOro;S.Gordiano;Allumiere-AldoMoro;Tolfa;S.Marinella;Tarquinia;MonteRomano;Ceccano;Ferentino;Anagni;Alatri;Fontechiari;Cassino;Frosinone Scalo;Mazzini;LT-Tasso;Aprilia 2;Latina Scalo;Gaeta Porto;LT-De Chirico;Viterbo;Acquapendente;Civita Castellana Petrarca;Rieti 1;Leonessa
09/01/2020;;68;58;68;74;55;90;21;34;53;47;36;52;67;68;72;59;89;60;78;20;42;-999;-999;29;51;11;18;24;24;16;37;17;10;-999;-999;21;132;63;39;56;31;114;118;61;51;41;45;40;41;25;19;54;31;20
10/01/2020;;69;55;64;54;51;80;10;24;58;56;41;50;64;54;60;55;81;52;50;29;20;-999;-999;32;49;7;13;16;15;13;27;-999;16;-999;-999;19;128;71;25;56;35;131;130;66;52;32;49;52;43;32;36;72;41;24
11/01/2020;;66;56;70;-999;53;95;9;18;52;51;32;49;76;64;62;55;77;58;56;20;17;-999;-999;34;46;8;17;16;14;13;23;-999;12;-999;-999;20;137;65;40;58;28;134;131;54;59;52;41;35;46;21;23;72;50;15
12/01/2020;;56;44;55;62;49;81;10;17;44;42;23;46;57;52;50;42;68;48;44;13;18;-999;-999;28;34;10;17;17;19;15;-999;-999;12;-999;-999;18;120;50;23;51;18;82;99;40;53;32;41;21;37;21;31;34;59;20
13/01/2020;;55;44;64;67;43;75;14;29;45;41;30;41;72;58;54;47;71;52;59;14;36;-999;-999;32;46;14;21;22;22;18;36;-999;26;-999;-999;21;115;48;31;52;21;78;104;43;-999;41;-999;7;44;32;21;24;41;22
14/01/2020;;57;52;58;57;59;99;19;32;40;51;36;43;58;55;53;50;67;51;46;26;38;-999;-999;35;49;14;19;20;21;19;29;33;20;-999;-999;27;150;57;27;58;30;128;126;56;62;39;52;48;53;28;28;61;40;20
15/01/2020;;58;53;58;66;58;94;15;29;44;42;35;45;64;59;61;53;74;55;48;22;42;-999;-999;34;52;13;16;20;25;14;32;34;13;-999;-999;25;122;65;31;48;26;147;132;46;57;45;45;39;50;23;23;56;30;21
16/01/2020;;64;59;70;69;54;86;10;27;51;52;38;50;51;62;69;59;82;60;67;29;29;-999;-999;32;41;7;16;21;18;15;28;19;10;-999;-999;20;119;60;32;53;23;139;123;-999;56;41;46;36;44;25;21;55;48;19
17/01/2020;;64;54;59;59;47;78;11;28;56;55;34;55;62;51;62;52;70;51;43;22;36;-999;-999;31;35;9;18;20;21;16;27;16;17;-999;-999;19;137;66;31;60;-999;133;131;66;54;38;46;50;46;31;18;49;35;19
18/01/2020;;44;38;39;36;52;75;10;14;34;33;16;51;19;34;52;29;50;28;27;35;14;-999;-999;24;22;10;13;14;14;15;15;8;7;-999;-999;10;148;97;37;67;-999;112;132;82;44;37;36;24;30;13;9;51;34;9
19/01/2020;;29;20;30;27;36;44;6;8;20;22;11;25;37;26;26;19;41;23;19;12;8;-999;-999;18;14;6;5;8;9;8;11;14;10;-999;-999;7;66;54;19;30;-999;30;60;53;32;24;27;13;24;8;9;20;21;7
20/01/2020;;19;14;24;20;29;31;5;13;31;13;8;23;19;18;16;13;32;20;11;6;11;-999;-999;14;10;7;9;7;9;6;11;17;9;-999;-999;10;80;40;17;51;-999;10;69;29;17;15;32;15;9;9;8;7;13;6
21/01/2020;;22;30;32;28;34;67;10;22;38;29;18;30;37;25;25;25;38;20;26;6;24;-999;-999;17;17;15;15;18;15;17;23;20;26;-999;-999;19;101;38;20;53;21;37;76;21;38;33;39;21;30;15;18;8;38;12
22/01/2020;;40;46;44;50;40;69;14;29;43;36;25;34;62;-999;45;47;60;-999;49;15;30;-999;-999;25;37;17;21;22;18;17;26;38;-999;-999;-999;19;118;52;-999;57;24;101;96;49;52;35;40;34;38;26;25;32;33;20
23/01/2020;;52;50;61;66;44;79;18;34;41;40;37;41;68;-999;58;52;73;-999;55;28;37;-999;-999;30;49;18;20;12;26;22;27;38;35;-999;-999;22;98;63;37;58;27;115;111;59;48;45;45;44;45;30;25;53;32;13
24/01/2020;;62;56;67;61;58;82;21;25;47;50;38;42;40;63;58;52;70;62;49;28;22;-999;-999;33;47;11;20;28;21;27;27;29;31;-999;-999;27;143;71;40;43;24;122;120;54;51;41;41;43;41;27;34;70;35;19
25/01/2020;;47;39;47;49;37;43;22;23;33;30;32;27;35;50;35;40;44;42;49;21;23;-999;-999;34;37;12;20;27;21;27;22;24;18;-999;-999;24;100;70;24;45;19;82;73;48;27;35;31;22;21;31;21;65;22;23
26/01/2020;;38;33;36;33;19;39;22;27;36;27;25;38;33;38;35;32;46;35;28;19;32;-999;-999;27;28;17;17;25;31;23;24;30;19;-999;-999;26;70;46;13;46;14;54;63;39;26;21;25;19;19;37;20;39;39;32
27/01/2020;;50;35;50;50;37;57;18;23;41;34;31;39;40;44;47;39;54;41;45;30;20;-999;-999;28;39;13;16;24;21;25;24;13;20;-999;-999;23;69;45;22;37;18;62;66;48;43;38;40;32;39;27;18;37;29;21
28/01/2020;;31;30;26;24;36;40;15;24;24;24;22;21;21;34;33;25;29;26;27;19;22;-999;-999;29;30;17;21;27;23;38;24;12;16;-999;-999;19;63;55;13;41;25;86;74;48;31;24;36;28;28;20;17;35;15;6
29/01/2020;;33;28;43;37;30;41;17;27;33;26;23;35;46;43;37;37;52;39;32;20;28;-999;-999;52;46;15;17;23;27;23;28;20;14;-999;-999;19;57;33;24;33;19;63;40;30;33;33;35;37;37;25;15;19;24;11
30/01/2020;;44;34;44;47;35;50;15;21;32;33;20;34;37;41;38;34;50;37;35;27;22;-999;-999;39;25;16;15;19;22;20;19;18;18;-999;-999;20;64;36;23;40;17;49;57;30;39;32;37;34;37;23;15;27;25;12
31/01/2020;;43;39;56;50;58;71;9;20;38;44;23;37;35;51;48;42;55;43;33;22;19;-999;-999;31;23;12;14;19;17;20;18;19;14;-999;-999;18;-999;74;50;74;27;100;109;83;36;35;43;43;28;26;12;27;34;11
01/02/2020;;60;60;62;51;77;93;10;19;43;59;28;54;42;51;62;59;67;55;45;12;25;-999;-999;28;41;17;16;21;24;22;24;14;16;-999;-999;22;-999;107;55;63;37;132;127;120;49;34;43;42;34;28;14;40;31;8
02/02/2020;;37;39;37;29;29;40;8;14;20;37;18;23;17;32;33;36;38;27;27;15;13;-999;-999;22;22;8;13;15;14;15;15;12;11;-999;-999;14;-999;30;13;29;24;76;53;35;34;24;25;33;28;17;11;28;19;8
03/02/2020;;29;29;37;35;31;48;13;16;25;29;15;26;31;39;32;29;40;33;26;11;16;-999;-999;18;19;10;14;16;12;17;13;24;16;-999;-999;13;-999;43;18;45;18;43;63;36;27;25;30;21;20;22;13;20;17;16
04/02/2020;;34;26;34;38;35;38;14;24;28;24;20;25;29;34;29;23;34;26;24;12;22;-999;-999;25;26;18;15;26;18;28;22;19;8;-999;-999;15;61;44;25;27;22;39;43;39;29;19;31;26;24;21;14;22;14;26
05/02/2020;;10;9;8;20;8;10;2;9;6;5;-999;6;13;12;5;5;8;7;6;-999;13;-999;-999;25;11;5;4;9;4;6;7;10;1;-999;-999;4;14;6;4;4;5;10;2;7;5;1;10;9;9;8;6;14;6;5
06/02/2020;;11;22;16;-999;16;35;6;17;14;13;-999;14;29;21;13;13;16;15;12;14;20;-999;-999;18;11;12;10;13;12;10;13;17;6;-999;-999;8;32;20;14;17;13;17;28;14;19;20;19;18;16;10;12;7;17;9
07/02/2020;;20;28;23;33;33;55;8;18;30;23;-999;29;41;34;27;27;36;25;21;22;34;-999;-999;16;17;12;12;10;17;8;18;25;5;-999;-999;13;-999;42;-999;36;20;50;64;33;32;28;-999;22;29;15;15;11;21;17
08/02/2020;;41;51;52;51;50;74;9;22;38;44;33;36;52;52;43;48;55;42;59;26;36;-999;-999;25;44;19;20;16;24;15;25;34;23;-999;-999;18;-999;54;33;44;32;73;94;47;46;37;33;34;42;19;19;39;26;17
09/02/2020;;44;38;51;38;49;70;13;12;23;39;25;25;24;39;39;34;42;35;31;17;10;-999;-999;25;33;6;13;19;17;17;13;16;16;-999;-999;19;77;63;15;45;27;73;77;41;37;23;23;28;27;16;16;45;29;10
10/02/2020;;27;30;30;30;45;54;10;30;21;25;24;25;21;34;43;26;42;31;31;12;27;-999;-999;35;34;15;28;-999;29;41;29;12;11;-999;-999;25;67;69;9;42;18;72;53;51;30;29;32;23;-999;24;16;31;16;7
11/02/2020;;41;34;47;46;42;53;20;46;38;40;35;34;40;48;72;44;57;50;47;45;40;-999;-999;88;57;24;40;-999;38;50;32;18;16;-999;-999;26;78;56;13;48;18;63;72;58;43;41;38;39;44;27;16;18;24;9
12/02/2020;;50;28;50;53;27;38;18;27;36;29;28;34;33;45;46;35;57;47;38;33;30;-999;-999;62;38;7;13;22;29;21;20;24;14;-999;-999;20;-999;31;12;27;15;49;41;32;32;33;34;39;38;41;17;28;17;13
13/02/2020;;38;28;41;36;35;50;16;27;28;28;23;30;28;38;35;29;40;36;35;21;20;-999;-999;43;28;11;12;19;18;22;20;15;16;-999;-999;16;-999;42;11;42;18;46;61;32;36;44;33;27;33;22;16;36;19;11
14/02/2020;;20;22;19;17;25;33;5;24;15;14;13;14;28;23;14;16;20;17;17;16;31;-999;-999;36;19;15;20;21;23;20;22;13;7;-999;-999;12;-999;32;-999;19;12;34;48;24;20;22;18;18;21;15;12;26;18;5
15/02/2020;;21;25;26;20;24;45;6;15;24;21;14;22;33;34;25;26;36;30;23;13;21;-999;-999;29;27;11;13;11;16;7;15;20;8;-999;-999;15;-999;27;13;27;12;31;37;20;23;25;18;22;25;17;13;15;24;14
16/02/2020;;37;36;45;41;33;53;10;24;31;34;26;27;37;40;35;36;45;34;34;20;24;-999;-999;26;36;14;17;17;28;16;19;22;9;-999;-999;18;-999;40;36;37;20;48;63;32;30;30;24;22;30;16;13;32;18;12
17/02/2020;;41;33;43;45;31;50;7;18;36;31;19;32;33;44;37;36;43;38;34;14;27;-999;-999;23;30;16;17;20;20;19;20;15;11;-999;-999;17;-999;45;32;42;26;59;73;35;41;30;28;33;36;20;14;36;20;15
18/02/2020;;37;30;41;37;25;36;9;18;25;31;24;26;40;37;36;30;40;34;34;-999;19;-999;-999;23;31;10;12;15;18;14;16;18;10;-999;-999;13;64;37;19;32;27;61;51;32;30;31;28;29;27;18;16;31;21;16
19/02/2020;;37;30;43;36;21;27;10;19;25;28;17;29;34;34;37;32;44;33;29;-999;23;-999;-999;21;27;11;10;18;18;18;16;11;7;-999;-999;12;47;34;25;27;20;45;29;33;28;27;25;26;30;19;16;39;18;11
20/02/2020;;21;21;22;24;18;27;5;14;21;13;16;20;27;24;18;21;30;19;17;12;16;-999;-999;18;19;5;6;13;13;11;16;13;6;-999;-999;10;49;26;16;33;10;25;35;21;23;27;26;20;22;13;13;29;13;11
21/02/2020;;-999;27;33;39;30;40;12;21;28;27;23;26;30;36;32;29;45;30;24;19;26;-999;-999;19;28;10;14;16;25;14;19;25;11;-999;-999;13;64;31;20;-999;18;48;47;28;29;26;27;30;28;20;16;13;18;11
22/02/2020;;38;36;46;37;28;40;17;34;32;32;28;30;33;36;40;34;46;35;29;20;28;-999;-999;19;26;16;17;20;24;20;24;23;19;-999;-999;25;66;34;17;-999;22;52;47;31;31;30;26;26;29;23;20;40;37;16
23/02/2020;;39;42;44;41;30;38;12;24;30;30;31;33;33;34;40;37;44;33;40;21;23;-999;-999;20;29;15;18;18;22;17;19;25;23;-999;-999;23;52;36;23;-999;24;58;49;39;39;30;25;30;33;21;22;45;22;13
24/02/2020;;27;25;32;27;31;46;13;22;25;23;26;27;24;27;35;35;36;31;31;14;18;-999;-999;21;24;11;14;18;16;19;16;15;19;-999;-999;22;47;36;24;-999;20;43;32;27;24;28;23;23;25;25;17;32;23;15
25/02/2020;;26;18;36;23;28;42;10;18;21;13;18;27;13;21;29;14;32;18;19;9;13;-999;-999;16;14;2;7;18;8;19;14;9;7;-999;-999;12;43;39;24;37;19;40;31;33;21;21;21;15;17;16;12;25;16;11
26/02/2020;;23;16;18;21;22;27;12;22;18;11;22;15;15;20;23;14;26;20;20;14;22;-999;-999;34;29;12;17;27;17;31;23;10;6;-999;-999;9;24;22;8;20;12;25;16;-999;19;22;19;21;21;19;13;18;9;7
27/02/2020;;15;16;16;14;13;16;9;12;13;10;10;16;14;16;18;11;22;22;14;12;15;-999;-999;29;16;1;6;18;8;18;10;7;7;-999;-999;8;-999;16;8;13;6;15;13;13;12;17;15;8;14;14;8;13;7;4
28/02/2020;;20;22;21;20;16;21;8;18;18;-999;14;16;25;24;16;16;25;22;18;9;23;-999;-999;33;22;13;18;18;19;19;21;14;8;-999;-999;13;28;20;12;23;11;19;18;15;15;19;16;20;20;13;9;13;14;5
29/02/2020;;22;21;30;20;25;33;12;18;20;-999;15;17;25;32;21;20;27;21;17;16;18;-999;-999;23;14;12;13;16;16;18;17;18;15;-999;-999;16;41;25;11;33;15;26;41;19;18;18;16;17;16;14;13;14;22;8
01/03/2020;;35;24;37;11;26;30;16;28;25;26;24;24;23;33;39;31;35;30;28;19;29;-999;-999;25;26;18;24;33;27;36;28;19;20;-999;-999;26;35;38;9;30;28;37;32;26;27;27;25;29;26;24;16;19;23;13
02/03/2020;;32;18;34;-999;18;20;9;25;16;16;19;17;19;32;36;24;27;26;22;10;24;-999;-999;25;21;15;17;28;17;34;22;9;8;-999;-999;15;-999;21;15;18;13;23;13;16;24;24;22;27;24;17;12;23;10;5
03/03/2020;;28;23;31;31;22;24;17;27;23;25;24;21;26;39;27;29;35;37;35;14;26;-999;-999;41;42;12;19;28;22;39;26;22;19;-999;-999;15;19;21;15;17;9;19;12;16;20;29;22;23;23;21;14;14;12;8
04/03/2020;;26;16;24;15;16;22;11;14;18;12;11;17;25;19;15;14;27;23;14;11;23;-999;-999;28;15;9;-999;14;16;13;14;14;9;-999;-999;10;14;20;15;16;8;10;20;17;17;17;18;19;20;12;9;21;10;4
05/03/2020;;28;15;18;16;16;22;5;8;14;8;9;15;17;18;12;11;20;13;12;6;9;-999;-999;17;12;3;4;10;5;9;7;7;4;-999;-999;-999;17;20;18;18;12;24;25;18;15;16;13;13;12;9;8;8;9;5
06/03/2020;;28;30;29;27;20;23;16;27;23;21;18;19;27;32;26;26;32;26;24;7;29;-999;-999;26;27;19;22;27;26;35;24;16;15;-999;-999;-999;12;23;12;21;14;21;24;17;21;22;24;25;20;19;11;8;18;5
07/03/2020;;23;19;26;16;16;19;5;9;14;19;11;13;22;21;16;18;27;21;15;8;15;-999;-999;20;14;8;10;7;9;7;9;12;8;-999;-999;11;19;19;14;15;12;15;-999;16;15;19;20;14;19;9;10;21;18;7
08/03/2020;;13;12;15;10;13;17;5;10;13;12;7;13;15;11;9;9;17;11;9;9;10;-999;-999;13;9;7;10;8;12;8;8;12;6;-999;-999;13;27;17;6;14;11;18;-999;19;15;13;-999;9;16;9;11;10;14;6
09/03/2020;;18;19;21;20;23;35;4;17;16;15;10;18;22;21;15;18;24;16;14;12;16;-999;-999;12;12;10;11;9;8;13;11;17;13;-999;-999;-999;33;29;20;28;16;29;-999;20;16;17;9;17;15;17;-999;9;15;9
10/03/2020;;21;22;29;23;24;31;9;15;21;21;12;22;31;28;23;22;30;21;16;8;21;-999;-999;11;14;15;14;13;18;-999;17;17;12;-999;-999;-999;54;29;22;28;20;31;44;26;23;29;-999;21;25;14;12;22;24;12
11/03/2020;;33;29;38;30;25;32;13;18;24;30;21;26;34;31;33;32;40;30;30;-999;21;-999;-999;14;23;15;16;16;24;39;20;16;13;-999;-999;17;54;35;23;28;23;43;45;29;33;28;28;29;30;15;10;29;17;10
12/03/2020;;24;21;24;28;22;28;8;15;22;22;17;20;23;25;29;23;29;21;30;30;16;-999;-999;15;23;8;14;14;18;21;16;25;23;-999;-999;16;44;37;12;29;22;44;42;30;32;23;22;25;27;15;9;40;15;11
13/03/2020;;32;24;38;38;24;39;12;14;23;34;24;23;24;35;36;30;36;28;35;12;16;-999;-999;18;29;11;15;16;17;29;17;12;20;-999;-999;18;44;44;20;36;26;32;39;30;26;25;19;20;19;20;16;26;-999;15
14/03/2020;;22;25;26;-999;29;42;11;13;32;23;21;26;26;24;33;23;32;20;27;11;12;-999;-999;14;18;10;12;14;18;17;14;7;8;-999;-999;16;39;48;25;39;30;32;26;32;26;25;30;21;22;19;19;27;-999;13
15/03/2020;;18;14;19;25;25;32;7;3;19;14;16;19;28;16;14;13;17;17;20;7;12;-999;-999;14;14;8;8;11;13;12;11;11;10;-999;-999;10;29;30;23;30;16;27;20;22;24;33;24;15;22;11;11;35;20;6
16/03/2020;;20;20;24;-999;21;28;15;-999;23;22;19;28;34;24;19;22;26;22;22;15;21;-999;-999;16;19;16;15;17;16;18;16;24;23;-999;-999;16;34;22;18;29;18;22;26;21;22;26;25;22;21;15;13;9;-999;10
17/03/2020;;32;30;37;-999;31;38;20;24;28;28;27;32;39;33;28;31;34;31;28;19;24;-999;-999;19;26;19;20;23;23;20;22;26;17;-999;-999;21;49;33;27;30;24;37;48;32;31;25;24;27;27;-999;18;22;18;16
18/03/2020;;36;34;39;-999;29;42;14;23;35;36;30;37;42;37;34;34;39;37;40;18;27;-999;-999;22;35;21;20;21;24;18;25;27;17;-999;-999;22;58;39;34;33;27;39;49;37;46;31;34;34;35;20;20;32;24;14
19/03/2020;;41;34;41;37;34;47;14;25;33;34;33;34;38;38;33;33;40;38;43;20;29;-999;-999;24;32;17;-999;23;23;21;24;30;24;-999;-999;21;59;36;28;34;24;57;52;36;38;32;28;27;36;21;-999;32;-999;15
20/03/2020;;39;27;38;38;27;52;11;21;40;30;29;36;34;32;33;27;39;39;37;17;22;-999;-999;22;30;15;14;22;26;20;19;24;20;-999;-999;14;57;45;33;34;21;48;49;45;45;32;31;26;37;19;-999;33;19;21
21/03/2020;;40;32;38;-999;29;47;14;15;33;32;37;40;36;33;34;29;42;34;96;12;14;-999;-999;22;28;8;13;18;14;18;16;22;10;-999;-999;18;60;48;28;44;-999;51;48;46;48;33;32;25;40;22;23;37;20;21
22/03/2020;;45;33;38;32;28;45;18;19;30;34;36;34;30;31;37;32;42;38;38;17;20;-999;-999;25;33;15;14;21;19;23;22;22;16;-999;-999;19;54;45;31;35;24;43;44;37;31;27;24;22;28;17;19;35;21;19
23/03/2020;;22;14;20;-999;20;25;9;18;18;15;21;18;20;17;19;15;19;22;19;16;23;-999;-999;27;19;15;14;30;13;20;23;21;13;-999;-999;14;16;39;15;13;9;13;10;13;22;20;18;19;19;12;12;21;-999;10
24/03/2020;;13;14;11;10;10;17;8;11;11;11;13;12;16;11;11;10;11;32;14;8;21;-999;-999;19;11;20;11;13;12;11;15;20;11;-999;-999;10;22;-999;17;15;10;14;17;15;15;14;16;11;12;10;13;15;-999;8
25/03/2020;;12;12;10;9;15;23;3;7;12;8;7;17;18;9;7;7;8;27;11;3;15;-999;-999;13;6;16;7;8;9;8;11;19;6;-999;-999;6;28;22;18;18;9;13;22;16;12;14;16;8;9;7;8;10;9;6
26/03/2020;;11;10;8;-999;9;12;2;4;15;5;7;15;9;7;8;3;10;6;-999;3;4;-999;-999;9;5;1;4;6;6;-999;3;11;3;-999;-999;2;24;21;4;10;5;3;29;15;4;11;6;12;5;5;9;9;1;3
27/03/2020;;10;7;10;9;11;15;6;6;17;6;6;17;14;10;13;6;15;9;13;5;1;-999;-999;8;6;0;2;6;10;-999;3;13;7;-999;-999;5;32;18;8;14;6;12;30;16;9;13;9;5;8;6;8;5;7;4
28/03/2020;;18;25;28;20;15;21;45;35;20;32;34;25;22;28;26;28;27;29;35;34;32;-999;-999;17;26;33;41;41;43;-999;30;35;38;-999;-999;46;29;20;10;19;7;12;19;17;15;18;13;7;14;49;82;9;13;9
29/03/2020;;58;49;70;65;31;35;92;76;50;64;67;55;59;70;68;67;66;70;80;75;70;-999;-999;40;64;63;57;72;87;-999;66;83;87;-999;-999;87;31;28;24;20;14;28;27;24;42;54;28;22;41;60;56;36;28;26
30/03/2020;;71;44;73;57;15;22;60;60;49;54;61;44;63;74;60;60;60;63;74;72;69;-999;-999;49;57;61;50;19;79;-999;62;61;56;-999;-999;61;26;21;9;18;18;32;26;21;63;69;39;37;65;41;26;37;19;18
31/03/2020;;30;22;24;19;22;26;12;19;16;17;15;15;18;19;15;16;20;20;20;21;21;-999;-999;33;19;19;12;18;19;18;21;19;13;-999;-999;18;25;24;14;17;15;26;-999;21;39;29;25;31;36;11;-999;30;7;6
01/04/2020;;11;14;14;-999;10;12;9;12;13;10;13;14;18;12;11;11;11;13;13;8;14;-999;-999;22;11;14;11;13;16;17;14;18;12;-999;-999;10;12;14;5;12;10;11;-999;10;11;13;10;8;10;11;12;9;16;9
02/04/2020;;16;20;18;18;15;23;18;14;20;15;17;20;26;18;16;16;19;17;38;10;20;-999;-999;16;13;22;14;15;19;15;15;20;14;-999;-999;13;31;22;17;21;16;18;-999;18;15;19;18;13;11;13;13;10;16;17
03/04/2020;;23;26;26;22;18;30;12;16;22;22;20;23;30;23;24;22;26;23;39;12;19;-999;-999;17;18;15;13;15;16;13;14;17;13;-999;-999;13;33;25;18;27;21;26;18;23;24;23;19;20;19;12;13;18;15;11
04/04/2020;;21;18;24;19;20;27;12;13;19;18;17;22;30;19;18;17;21;19;18;11;13;-999;-999;16;14;7;13;16;18;15;10;15;14;-999;-999;16;39;20;15;17;17;19;42;18;26;25;21;20;22;13;15;15;19;14
05/04/2020;;17;21;22;18;17;25;14;18;17;20;18;21;26;21;18;19;19;20;22;13;15;-999;-999;15;17;13;16;20;20;20;16;20;20;-999;-999;20;46;21;15;18;19;19;54;19;23;24;21;16;19;16;18;13;21;18
06/04/2020;;23;24;31;14;23;29;20;25;26;25;25;28;33;28;24;24;27;26;26;23;23;-999;-999;18;22;20;24;24;25;29;24;21;24;-999;-999;26;38;27;24;27;22;26;54;24;28;26;22;27;24;20;25;16;21;20
07/04/2020;;29;27;38;-999;22;34;22;32;33;36;31;30;31;34;30;30;33;31;35;23;27;-999;-999;21;30;20;24;26;32;23;25;29;27;-999;-999;28;43;34;27;27;26;33;33;26;29;26;25;31;26;23;33;22;25;22
08/04/2020;;37;34;40;33;29;39;23;32;40;34;32;37;30;36;36;35;40;34;38;28;33;-999;-999;24;30;30;26;31;33;28;34;29;28;-999;-999;30;46;38;35;35;27;40;44;34;36;31;29;35;33;27;23;28;29;23
09/04/2020;;43;25;37;34;28;39;23;28;35;28;30;35;32;33;34;31;36;32;39;24;29;-999;-999;23;26;21;39;27;30;25;26;23;23;-999;-999;26;50;38;33;34;27;43;41;34;34;32;29;35;32;21;19;30;21;18
10/04/2020;;34;24;35;31;22;34;17;23;32;25;31;33;24;30;30;31;34;29;33;20;23;-999;-999;22;25;16;21;28;25;21;22;19;17;-999;-999;20;40;31;28;28;24;46;32;31;34;28;26;31;32;21;21;26;19;21
11/04/2020;;33;22;30;31;25;37;14;20;29;26;30;32;29;28;30;27;31;29;31;28;22;-999;-999;22;26;16;16;23;22;21;23;16;15;-999;-999;21;42;35;26;29;27;40;33;31;33;29;26;25;30;18;17;29;20;20
12/04/2020;;31;24;29;28;19;30;18;20;25;29;25;27;25;26;28;23;29;27;29;19;24;-999;-999;21;24;18;18;26;25;26;-999;22;19;-999;-999;21;35;30;27;23;22;28;31;25;23;24;20;22;20;17;17;28;20;18
13/04/2020;;32;21;25;26;22;34;17;17;27;19;21;24;22;21;22;18;25;22;23;14;17;-999;-999;18;16;11;14;20;15;19;-999;17;16;-999;-999;17;31;32;27;29;24;30;23;27;21;20;21;20;17;20;22;19;22;22
